harga_juta,luas_tanah,luas_bangunan,bed,bath,carport
3800.0,290.0,280.0,5.0,4.0,2.0
1750.0,131.0,160.0,3.0,2.0,1.0
3800.0,290.0,177.0,5.0,3.0,2.0
900.0,108.0,60.0,2.0,2.0,1.0
595.0,93.0,60.0,3.0,1.0,1.0
852.0,142.0,200.0,4.0,2.0,1.0
700.0,106.0,70.0,3.0,2.0,1.0
2300.0,98.0,120.0,6.0,5.0,2.0
1290.0,99.0,105.0,4.0,3.0,2.0
399.0,80.0,72.0,2.0,1.0,1.0
1470.0,178.0,131.0,4.0,4.0,2.0
462.0,201.0,100.0,2.0,1.0,2.0
1560.0,209.0,100.0,2.0,1.0,2.0
550.0,82.0,100.0,3.0,2.0,1.0
2500.0,123.0,150.0,3.0,2.0,1.0
495.0,141.0,60.0,3.0,1.0,1.0
475.0,90.0,50.0,2.0,1.0,1.0
3800.0,287.0,200.0,4.0,4.0,2.0
700.0,100.0,90.0,2.0,2.0,1.0
399.0,88.0,45.0,2.0,1.0,1.0
580.0,100.0,80.0,3.0,2.0,1.0
765.0,118.0,75.0,3.0,2.0,1.0
1880.0,150.0,110.0,3.0,2.0,2.0
500.0,97.0,55.0,3.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,2.0
495.0,107.0,45.0,2.0,1.0,1.0
495.0,107.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,2.0
900.0,140.0,140.0,4.0,2.0,1.0
1950.0,168.0,130.0,3.0,2.0,2.0
897.0,107.0,91.0,3.0,2.0,1.0
730.0,100.0,80.0,3.0,2.0,2.0
513.0,80.0,76.0,2.0,1.0,1.0
1980.0,150.0,110.0,3.0,3.0,2.0
990.0,103.0,100.0,3.0,3.0,1.0
399.0,80.0,45.0,2.0,1.0,2.0
600.0,225.0,225.0,2.0,1.0,1.0
695.0,94.0,64.0,2.0,1.0,1.0
900.0,133.0,80.0,2.0,2.0,1.0
2360.0,182.0,135.0,4.0,3.0,1.0
850.0,106.0,62.0,2.0,2.0,1.0
600.0,123.0,105.0,3.0,2.0,1.0
2600.0,150.0,150.0,5.0,4.0,2.0
1700.0,110.0,114.0,4.0,3.0,2.0
1970.0,135.0,165.0,4.0,3.0,2.0
1750.0,176.0,280.0,6.0,4.0,2.0
1200.0,157.0,120.0,6.0,3.0,1.0
970.0,176.0,90.0,4.0,2.0,1.0
3800.0,290.0,280.0,5.0,5.0,2.0
3800.0,290.0,280.0,4.0,4.0,2.0
1600.0,131.0,200.0,5.0,5.0,1.0
3800.0,290.0,180.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
675.0,125.0,65.0,3.0,2.0,1.0
675.0,125.0,65.0,3.0,2.0,1.0
795.0,98.0,85.0,3.0,2.0,1.0
580.0,100.0,80.0,3.0,2.0,1.0
580.0,100.0,80.0,3.0,2.0,1.0
2350.0,103.0,255.0,6.0,5.0,2.0
2200.0,250.0,180.0,4.0,2.0,2.0
549.0,90.0,45.0,2.0,1.0,1.0
549.0,90.0,45.0,2.0,1.0,1.0
585.0,100.0,58.0,3.0,2.0,1.0
585.0,100.0,58.0,3.0,2.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
500.0,120.0,45.0,2.0,2.0,1.0
500.0,120.0,45.0,2.0,2.0,1.0
1100.0,115.0,205.0,4.0,2.0,1.0
720.0,87.0,80.0,3.0,2.0,1.0
720.0,87.0,80.0,3.0,2.0,1.0
2300.0,160.0,150.0,4.0,3.0,2.0
399.0,100.0,50.0,2.0,2.0,1.0
1350.0,105.0,120.0,3.0,2.0,1.0
1500.0,290.0,250.0,6.0,5.0,2.0
1300.0,161.0,120.0,3.0,2.0,2.0
875.0,85.0,125.0,3.0,2.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
799.0,119.0,80.0,3.0,1.0,1.0
2200.0,133.0,182.0,6.0,5.0,1.0
1000.0,180.0,120.0,5.0,3.0,2.0
950.0,108.0,100.0,3.0,1.0,1.0
998.0,103.0,100.0,3.0,3.0,1.0
3800.0,290.0,280.0,6.0,4.0,2.0
1300.0,112.0,200.0,5.0,2.0,2.0
1300.0,150.0,200.0,5.0,4.0,2.0
2430.0,192.0,135.0,4.0,3.0,1.0
399.0,121.0,60.0,3.0,2.0,1.0
480.0,98.0,50.0,3.0,1.0,1.0
1000.0,110.0,110.0,6.0,5.0,1.0
1500.0,151.0,161.0,3.0,4.0,2.0
2650.0,213.0,135.0,4.0,3.0,1.0
2950.0,200.0,280.0,6.0,5.0,2.0
399.0,88.0,45.0,2.0,1.0,1.0
2100.0,223.0,200.0,3.0,2.0,1.0
2490.0,200.0,135.0,4.0,3.0,1.0
591.0,84.0,45.0,2.0,1.0,1.0
1350.0,156.0,156.0,5.0,3.0,1.0
650.0,161.0,130.0,5.0,2.0,1.0
571.0,80.0,45.0,2.0,1.0,1.0
1380.0,103.0,100.0,3.0,2.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
2880.0,207.0,208.0,6.0,5.0,1.0
725.0,130.0,100.0,4.0,2.0,1.0
1350.0,100.0,103.0,3.0,2.0,1.0
520.0,90.0,50.0,2.0,1.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
2400.0,187.0,135.0,4.0,3.0,1.0
950.0,175.0,120.0,3.0,2.0,1.0
1480.0,125.0,100.0,3.0,2.0,1.0
2200.0,122.0,190.0,6.0,5.0,2.0
2430.0,192.0,135.0,4.0,3.0,1.0
2460.0,196.0,135.0,4.0,3.0,1.0
2360.0,182.0,135.0,4.0,3.0,1.0
2400.0,187.0,135.0,4.0,3.0,1.0
2650.0,213.0,135.0,4.0,3.0,1.0
1950.0,290.0,280.0,4.0,3.0,1.0
2550.0,175.0,130.0,4.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
700.0,108.0,100.0,2.0,2.0,1.0
556.0,84.0,46.0,2.0,1.0,1.0
725.0,80.0,45.0,2.0,1.0,1.0
2530.0,175.0,130.0,4.0,4.0,2.0
549.0,90.0,45.0,2.0,1.0,1.0
